epoch,train_accuracies,val_accuracies,train_losses,val_losses,save_model_paths
0,72.14285714285714,83.82352941176471,0.5829247518913033,0.3569019794464111,/mnt/disks/user/project/weights/binary/20210425234454/0.pt
1,85.84415584415585,89.70588235294117,0.3397085092116877,0.2280163921415806,/mnt/disks/user/project/weights/binary/20210425234454/1.pt
2,91.88311688311687,95.58823529411764,0.22552692037575026,0.12593827918171882,/mnt/disks/user/project/weights/binary/20210425234454/2.pt
3,94.02597402597401,91.17647058823529,0.16926306276822212,0.1641172155737877,/mnt/disks/user/project/weights/binary/20210425234454/3.pt
4,94.67532467532469,88.23529411764706,0.14005241911743105,0.2268955513834953,/mnt/disks/user/project/weights/binary/20210425234454/4.pt
5,96.16883116883119,92.64705882352942,0.11721428518289145,0.16311423629522326,/mnt/disks/user/project/weights/binary/20210425234454/5.pt
6,95.25974025974024,95.58823529411764,0.13597517815831395,0.14185898872092367,/mnt/disks/user/project/weights/binary/20210425234454/6.pt
7,96.68831168831169,97.05882352941177,0.0849731021594333,0.0714065432548523,/mnt/disks/user/project/weights/binary/20210425234454/7.pt
8,97.33766233766234,94.11764705882355,0.08025858535421725,0.11603032164275645,/mnt/disks/user/project/weights/binary/20210425234454/8.pt
9,95.97402597402599,94.11764705882355,0.11075429797902242,0.21145785674452786,/mnt/disks/user/project/weights/binary/20210425234454/9.pt
10,98.11688311688313,95.58823529411764,0.054461225478420236,0.1480560874566436,/mnt/disks/user/project/weights/binary/20210425234454/10.pt
11,97.85714285714285,98.52941176470587,0.061640535212438737,0.11255852803587914,/mnt/disks/user/project/weights/binary/20210425234454/11.pt
12,96.88311688311687,95.58823529411764,0.07650047892550986,0.09458331788191572,/mnt/disks/user/project/weights/binary/20210425234454/12.pt
13,97.92207792207792,94.11764705882355,0.07262368340371657,0.1613961121533066,/mnt/disks/user/project/weights/binary/20210425234454/13.pt
14,97.92207792207792,94.11764705882355,0.06320169805573088,0.10922733715269714,/mnt/disks/user/project/weights/binary/20210425234454/14.pt
15,98.57142857142858,85.29411764705883,0.061650270219897066,0.35062179919332265,/mnt/disks/user/project/weights/binary/20210425234454/15.pt
16,98.96103896103895,95.58823529411764,0.04775578637737013,0.1568985566496849,/mnt/disks/user/project/weights/binary/20210425234454/16.pt
17,97.987012987013,98.52941176470587,0.051132128600957664,0.07069641277194022,/mnt/disks/user/project/weights/binary/20210425234454/17.pt
18,99.15584415584415,91.17647058823529,0.022047191487442816,0.173845199868083,/mnt/disks/user/project/weights/binary/20210425234454/18.pt
19,98.96103896103895,98.52941176470587,0.03216327639079422,0.0368821720185224,/mnt/disks/user/project/weights/binary/20210425234454/19.pt
20,99.35064935064936,88.23529411764706,0.02665675370641936,0.1327161794528365,/mnt/disks/user/project/weights/binary/20210425234454/20.pt
21,99.35064935064936,95.58823529411764,0.024035805056817332,0.09998629209585487,/mnt/disks/user/project/weights/binary/20210425234454/21.pt
22,99.67532467532469,95.58823529411764,0.012060562936593923,0.17453938350081444,/mnt/disks/user/project/weights/binary/20210425234454/22.pt
23,99.8051948051948,98.52941176470587,0.009851459594990713,0.08667594604194165,/mnt/disks/user/project/weights/binary/20210425234454/23.pt
24,98.7012987012987,98.52941176470587,0.052430021104921315,0.0704885769635439,/mnt/disks/user/project/weights/binary/20210425234454/24.pt
25,96.03896103896105,95.58823529411764,0.1073696401147844,0.1299057796597481,/mnt/disks/user/project/weights/binary/20210425234454/25.pt
26,98.57142857142858,86.76470588235294,0.04955413969612882,0.26208482272922995,/mnt/disks/user/project/weights/binary/20210425234454/26.pt
27,98.57142857142858,91.17647058823529,0.054265673090487763,0.3359795313328505,/mnt/disks/user/project/weights/binary/20210425234454/27.pt
28,98.11688311688313,83.82352941176471,0.06552922236253075,0.2483755767345429,/mnt/disks/user/project/weights/binary/20210425234454/28.pt
29,99.48051948051949,92.64705882352942,0.022466085569755437,0.30022312998771666,/mnt/disks/user/project/weights/binary/20210425234454/29.pt
30,99.67532467532469,98.52941176470587,0.01544155868444803,0.049052614066749815,/mnt/disks/user/project/weights/binary/20210425234454/30.pt
31,100.0,86.76470588235294,0.005728408625258191,0.1572697326540947,/mnt/disks/user/project/weights/binary/20210425234454/31.pt
32,99.67532467532469,92.64705882352942,0.016085829575889332,0.1485430084168911,/mnt/disks/user/project/weights/binary/20210425234454/32.pt
33,99.61038961038963,85.29411764705883,0.015390026362399216,0.22795535922050475,/mnt/disks/user/project/weights/binary/20210425234454/33.pt
34,99.61038961038963,94.11764705882355,0.015689489145441576,0.1459713747841306,/mnt/disks/user/project/weights/binary/20210425234454/34.pt
35,99.93506493506493,88.18243720834158,0.006447924432145509,0.05017234874311996,/mnt/disks/user/project/weights/binary/20210425234454/35.pt
36,99.87012987012987,91.17647058823529,0.013409161199719558,0.200019458308816,/mnt/disks/user/project/weights/binary/20210425234454/36.pt
37,99.74025974025976,97.05882352941177,0.009831161570696871,0.07920250557363033,/mnt/disks/user/project/weights/binary/20210425234454/37.pt
38,99.67532467532469,94.11764705882355,0.011048739536583769,0.23419305346906186,/mnt/disks/user/project/weights/binary/20210425234454/38.pt
39,99.22077922077924,79.41176470588233,0.024714116800394027,0.9590790033340454,/mnt/disks/user/project/weights/binary/20210425234454/39.pt
40,94.93506493506494,52.941176470588225,0.14333552914700404,0.8306061029434204,/mnt/disks/user/project/weights/binary/20210425234454/40.pt
41,95.97402597402599,97.05882352941177,0.09264731818099613,0.13370095789432526,/mnt/disks/user/project/weights/binary/20210425234454/41.pt
